,Sentiment,User_flr,Text
2020-07-09 11:09:49,1,202,Wow $SQ lmao 128p would’ve been great if it wasn’t for paper hands
2020-07-09 11:13:08,-1,6320,RT @SupremeSwinger: $SQ 130P 128P paid missed getting 131P and other puts filled 😂 https://t.co/GnuAvxPi3b
2020-07-09 11:28:16,-1,143,"@MadMraket $SQ down 2%, add more?"
2020-07-09 11:34:33,1,1602,"$SQ has been on an incredible run... up over 50% since June 1
https://t.co/ZEgt7hiMl8"
2020-07-09 11:45:24,1,13392,$SQ insanely strong but may just maybe it backtests its major 1.618 https://t.co/qvruYPYeaV
2020-07-09 11:57:07,1,242,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 12:00:13,1,263,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 12:11:45,1,28,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 12:24:42,1,15195,"$SQ  Good add !

Price went up ALL the times it got downgrades . A LOT higher .. will show U next 

See when I posted $LVGO got downgrades ??  

Up ONLY 40 50% since  !!!"
2020-07-09 12:26:38,-1,731,$SQ DOWN 4% at 128
2020-07-09 12:31:46,-1,7931,"Yesterday rolled my $SQ short puts to next week w/ 122 strike. 

First thing this am I rolled them to Jul 24 at 117. 

Can always roll back if price reverses, but I don't think it will. Not like it was early week."
2020-07-09 12:33:01,1,409,"$SQ this was expected, dip buy opportunity here"
2020-07-09 12:38:13,-1,51,How is $SQ soaring with so many small bizs are being shutdown or taking big hits. Thought SB was the lifeblood of  its growth
2020-07-09 12:42:34,1,266,"RT @MadMraket: $SQ  Good add !

Price went up ALL the times it got downgrades . A LOT higher .. will show U next 

See when I posted $LVGO…"
2020-07-09 12:59:01,1,23156,"These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since. https://t.co/dP766EmVoG"
2020-07-09 12:59:41,1,74,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since. htt…"
2020-07-09 13:09:50,1,7724,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since."
2020-07-09 13:13:36,1,6320,"RT @MadMraket: $SQ  Good add !

Price went up ALL the times it got downgrades . A LOT higher .. will show U next 

See when I posted $LVGO…"
2020-07-09 13:13:46,-1,6320,RT @TigerWolfCap: $SQ DOWN 4% at 128
2020-07-09 13:14:07,1,6320,"RT @dylanoburton: @33candles You can see their portfolio. If you like the things they invest in, then buy them.

1) You don't want to pay 0…"
2020-07-09 13:14:27,-1,6320,"RT @axelroark: Yesterday rolled my $SQ short puts to next week w/ 122 strike. 

First thing this am I rolled them to Jul 24 at 117. 

Can a…"
2020-07-09 13:14:48,1,6320,"RT @wilsonthetrader: $SQ this was expected, dip buy opportunity here"
2020-07-09 13:15:29,-1,6320,RT @willmicjan2: How is $SQ soaring with so many small bizs are being shutdown or taking big hits. Thought SB was the lifeblood of  its gro…
2020-07-09 13:18:01,1,43,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 13:20:55,1,6320,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since. htt…"
2020-07-09 13:22:20,1,207,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since."
2020-07-09 13:25:40,1,133,"https://t.co/cWpp8I6i17 $119 profit in $SQ Quick gain on SQ buying at 128 - double bottom and I sold SQ calls 2 days ago, when I should ..."
2020-07-09 13:26:50,-1,18902,"@CCM_Ryan These trends are clear in our current climate but I think the upside is priced in right now. I would worry about these companies being overbought. $SQ for example, has really been flying. ... but you never know in this volatile market."
2020-07-09 13:32:08,1,79,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since."
2020-07-09 13:36:07,1,2148,Investing in $SQ enables you to be long $BTC without the risk of owning $BTC. https://t.co/qMu9v6QFMS
2020-07-09 13:45:53,1,18902,"@CCM_Ryan Don’t get me wrong, I started investing in $SQ about three years ago and it’s been very good to me, but I would be wary now. Earnings are in a couple of weeks. We’ll see how investors react."
2020-07-09 13:48:09,1,260,"Here is my long term stocks 
$msft pt$260
$work$50
$aapl$390
$lvgo $120
$sq best time to load up now if you guys want to hit big$$$$$$ https://t.co/Mh34R0m9DL"
2020-07-09 13:48:59,1,344,"RT @Bulltrend1: Here is my long term stocks 
$msft pt$260
$work$50
$aapl$390
$lvgo $120
$sq best time to load up now if you guys want to hi…"
2020-07-09 13:54:09,1,18,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 13:59:56,1,2340,"$SQ is now nearly DOUBLE Twitter's valuation. It'll still be the ""Jack Dorsey's other company"" in popular narrative. 

A good reminder that narratives should be viewed with suspicion."
2020-07-09 14:12:04,1,11486,$sq is easily going to 200. https://t.co/DhY1jcFXs6
2020-07-09 14:13:39,1,6320,"RT @Bulltrend1: Here is my long term stocks 
$msft pt$260
$work$50
$aapl$390
$lvgo $120
$sq best time to load up now if you guys want to hi…"
2020-07-09 14:18:45,1,153,RT @HackermanAce: $sq is easily going to 200.
2020-07-09 14:23:17,1,276,"RT @cperruna: These bank analysts are as bad as or worse than ""talking heads"".  Look at all those $SQ downgrades.  Stock up 100% since."
2020-07-09 14:24:35,-1,26,$SQ head and shoulders forming on the 30min chart. Expect another leg down to 122 if it breaks below the neckline
2020-07-09 14:44:30,1,255,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 14:48:43,1,966,"RT @AmritSF: $SQ is now nearly DOUBLE Twitter's valuation. It'll still be the ""Jack Dorsey's other company"" in popular narrative. 

A good…"
2020-07-09 14:49:20,1,157,"RT @captain_sees: 🐂🐻🚨 Today’s Bullish Bearish Sentiment by Captain across the analysts we track

LEANS BULLISH
$AAPL 🍎
$ADBE 💻
$AMD 💻
$COST…"
2020-07-09 14:56:13,-1,877,Bought some $UBER &amp; $SQ shares today when they were down 📈
2020-07-09 15:04:41,-1,344,RT @TeezyTaughtHer: Bought some $UBER &amp; $SQ shares today when they were down 📈
2020-07-09 15:07:59,1,272,RT @HackermanAce: $sq is easily going to 200.
2020-07-09 15:08:20,1,2148,"@BlakeWetterauer I think that's a smart long term play.

Over the short to medium term, $MA looks great but over the long term my bet is that $SQ is the biggest winner of all four."
2020-07-09 15:08:45,1,228,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 15:17:19,1,24,"@NPetallides Buy more $TSLA before 7/22 earnings and subsequent inclusion in S&amp;P 500, buy more $SQ as it has competitive edge with digital technology and supports PPP &amp; Bitcoin, and buy more $NVTA as it dominates DTC diagnostics at the lowest price!"
2020-07-09 15:36:28,1,28,"RT @MadMraket: If   They took mrkt down b/c of the # came out of Florida 

Then ,

The COVID-19 stks will run up much higher 

We know them…"
2020-07-09 15:52:15,1,11340,RT @1_echelon: At Echelon 1 we pride ourselves on finding profitable trades each and every day! Yesterday @EchelonTrader hit another home r…
2020-07-09 15:53:14,1,50,9 years in I’m getting good at this. $EDIT $CRSP $PASO $TPTW $NVDA $SQ. Though I did buy $TSLA at $240 and sold at $378.
2020-07-09 16:18:27,1,72,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:33:00,1,1569,"📢 Using Captain's Thread Explorer, now you can read #FinTwit conversations on trending stocks by analysts we track.

$ROKU 🎬
$WORK 🧑‍💻
$SPY 🕷️
$SPCE 🚀
$AMD 💻
$LVGO 🩺
$TSLA ⚡️
$IWM 🤏
$FSLY ☁️
$BA ✈️ 
$CCL 🛳️
$DKNG 💸
$SNAP 👻
$SQ 💳

Sign up is free: https://t.co/82LOgnKVww https://t.co/QfeL5bETrW"
2020-07-09 16:37:42,1,103,"@saxena_puru The losers I bought were $Z $SE $SQ.  In hindsight, it makes sense $Z and $SQ wouldn't benefit from lockdowns.  I still like my purchase of adding more to $SE though.  Daily fluctuations happen."
2020-07-09 16:45:59,1,56,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:48:08,1,48,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:58:01,1,5023,RT @1_echelon: At Echelon 1 we pride ourselves on finding profitable trades each and every day! Yesterday @EchelonTrader hit another home r…
2020-07-09 17:03:23,-1,104,"$SQ (one of my favs) had a needed pullback today closing right under the key 130 level.
If it gaps up tomorrow we could see it run to 135 next but if it can't break the 130 level it could be choppy for a little while https://t.co/aUcWwTY6P6"
2020-07-09 17:17:23,1,227,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 17:44:19,1,2014,@ErikMeadows I just kept focusing on my $SQ trade after that &amp; didn’t want to put on more risk after already getting a nice move out of $SQ to make the day.  But you are right a flip there would have been good. I’m careful about just flipping positions as is so easy to get chopped up.
2020-07-09 17:48:29,1,344,"RT @SergDJB: Coño... What the heck did I miss? Big run up with me stuck in meetings no cellphones $ROKU $AMD $SPCE
https://t.co/qodH7IlN46…"
2020-07-09 18:12:27,1,58,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 18:40:22,1,6320,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 18:44:58,-1,962,"Banks like $WFC $BAC $JPM $XLF sure look cheap.

However, they are NOT buys.

Two major reasons:

#1) Fintech is taking over. $PYPL $BABA $SQ. 

#2) Locations remain closed. Banks can't open because of masks. They all have to worry about getting robbed.

#Venmo #Alipay #CashApp"
2020-07-09 18:52:09,1,82,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
