,Name,Date,Time,GICS Sub Industry
CARR,Carrier Global Corporation,2020-07-30,Estimated,Building Products
LLY,Eli Lilly and Company,2020-07-30,Estimated,Pharmaceuticals
HBI,Hanesbrands Inc.,2020-07-30,Estimated,"Apparel, Accessories & Luxury Goods"
MA,Mastercard Incorporated,2020-07-30,Estimated,Data Processing & Outsourced Services
APTV,Aptiv PLC,2020-07-30,Estimated,Auto Parts & Equipment
UPS,"United Parcel Service, Inc.",2020-07-30,Pre-Market,Air Freight & Logistics
ICE,"Intercontinental Exchange, Inc.",2020-07-30,Estimated,Financial Exchanges & Data
CI,Cigna Corporation,2020-07-30,Pre-Market,Managed Health Care
XYL,Xylem Inc.,2020-07-30,Pre-Market,Industrial Machinery
MAS,Masco Corporation,2020-07-30,Pre-Market,Building Products
TAP,Molson Coors Beverage Company,2020-07-30,Pre-Market,Brewers
AMT,American Tower Corporation (REIT),2020-07-30,Estimated,Specialized REITs
SO,The Southern Company,2020-07-30,Pre-Market,Electric Utilities
K,Kellogg Company,2020-07-30,Pre-Market,Packaged Foods & Meats
SYK,Stryker Corporation,2020-07-30,Post-Market,Health Care Equipment
F,Ford Motor Company,2020-07-30,Post-Market,Automobile Manufacturers
WLTW,Willis Towers Watson Public Limited Company,2020-07-30,Estimated,Insurance Brokers
LIN,Linde plc,2020-07-30,Estimated,Industrial Gases
CHD,"Church & Dwight Co., Inc.",2020-07-31,Estimated,Household Products
LHX,"L3Harris Technologies, Inc.",2020-07-31,Estimated,Aerospace & Defense
CVX,Chevron Corporation,2020-07-31,Estimated,Integrated Oil & Gas
ABBV,AbbVie Inc.,2020-07-31,Pre-Market,Pharmaceuticals
CBOE,"Cboe Global Markets, Inc.",2020-07-31,Pre-Market,Financial Exchanges & Data
IDXX,"IDEXX Laboratories, Inc.",2020-07-31,Pre-Market,Health Care Equipment
SNA,Snap-on Incorporated,2020-07-31,Pre-Market,Industrial Machinery
NWL,Newell Brands Inc.,2020-07-31,Pre-Market,Housewares & Specialties
WY,Weyerhaeuser Company,2020-07-31,Pre-Market,Specialized REITs
CL,Colgate-Palmolive Company,2020-07-31,Estimated,Household Products
LYB,LyondellBasell Industries N.V.,2020-07-31,Pre-Market,Specialty Chemicals
AON,Aon Plc,2020-07-31,Pre-Market,Insurance Brokers
D,"Dominion Energy, Inc.",2020-07-31,Estimated,Electric Utilities
UA,"Under Armour, Inc.",2020-07-31,Pre-Market,"Apparel, Accessories & Luxury Goods"
MRK,"Merck & Co., Inc.",2020-07-31,Estimated,Pharmaceuticals
XOM,Exxon Mobil Corporation,2020-07-31,Pre-Market,Integrated Oil & Gas
CHTR,"Charter Communications, Inc.",2020-07-31,Pre-Market,Cable & Satellite
JCI,Johnson Controls International plc,2020-07-31,Estimated,Building Products
VFC,V.F. Corporation,2020-07-31,Estimated,"Apparel, Accessories & Luxury Goods"
ITW,Illinois Tool Works Inc.,2020-07-31,Pre-Market,Industrial Machinery
CBRE,"CBRE Group, Inc.",2020-07-31,Pre-Market,Real Estate Services
CAT,Caterpillar Inc.,2020-07-31,Pre-Market,Construction Machinery & Heavy Trucks
PSX,Phillips 66,2020-07-31,Estimated,Oil & Gas Refining & Marketing
PEG,Public Service Enterprise Group Incorporated,2020-07-31,Estimated,Electric Utilities
ES,Eversource Energy,2020-07-31,Estimated,Multi-Utilities
RCL,Royal Caribbean Cruises Ltd.,2020-08-01,Estimated,"Hotels, Resorts & Cruise Lines"
VNO,Vornado Realty Trust,2020-08-03,Post-Market,Office REITs
SBAC,SBA Communications Corporation (REIT),2020-08-03,Post-Market,Specialized REITs
AIG,"American International Group, Inc.",2020-08-03,Post-Market,Property & Casualty Insurance
STE,STERIS plc,2020-08-03,Post-Market,Health Care Equipment
NBL,"Noble Energy, Inc.",2020-08-03,Pre-Market,Oil & Gas Exploration & Production
LEG,"Leggett & Platt, Incorporated",2020-08-03,Post-Market,Home Furnishings
GPN,Global Payments Inc.,2020-08-03,Pre-Market,Data Processing & Outsourced Services
MCK,McKesson Corporation,2020-08-03,Pre-Market,Health Care Distributors
J,Jacobs Engineering Group Inc.,2020-08-03,Pre-Market,Construction & Engineering
IR,Ingersoll Rand Inc.,2020-08-03,Post-Market,Industrial Machinery
ESS,"Essex Property Trust, Inc.",2020-08-03,Post-Market,Residential REITs
L,Loews Corporation,2020-08-03,Estimated,Multi-line Insurance
KLAC,KLA Corporation,2020-08-03,Post-Market,Semiconductor Equipment
O,Realty Income Corporation,2020-08-03,Post-Market,Retail REITs
AIV,Apartment Investment and Management Company,2020-08-03,Post-Market,Residential REITs
MPC,Marathon Petroleum Corporation,2020-08-03,Estimated,Oil & Gas Refining & Marketing
EMN,Eastman Chemical Company,2020-08-03,Post-Market,Diversified Chemicals
TSN,"Tyson Foods, Inc.",2020-08-03,Estimated,Packaged Foods & Meats
CLX,The Clorox Company,2020-08-03,Estimated,Household Products
CMS,CMS Energy Corporation,2020-08-03,Estimated,Multi-Utilities
MOS,The Mosaic Company,2020-08-03,Post-Market,Fertilizers & Agricultural Chemicals
REG,Regency Centers Corporation,2020-08-03,Post-Market,Retail REITs
WMB,"The Williams Companies, Inc.",2020-08-03,Post-Market,Oil & Gas Storage & Transportation
TTWO,"Take-Two Interactive Software, Inc.",2020-08-03,Post-Market,Interactive Home Entertainment
FANG,"Diamondback Energy, Inc.",2020-08-03,Post-Market,Oil & Gas Exploration & Production
IT,"Gartner, Inc.",2020-08-04,Pre-Market,IT Consulting & Other Services
WU,The Western Union Company,2020-08-04,Post-Market,Data Processing & Outsourced Services
AME,"AMETEK, Inc.",2020-08-04,Pre-Market,Electrical Components & Equipment
WRK,WestRock Company,2020-08-04,Pre-Market,Paper Packaging
LDOS,"Leidos Holdings, Inc.",2020-08-04,Pre-Market,IT Consulting & Other Services
EMR,Emerson Electric Co.,2020-08-04,Pre-Market,Electrical Components & Equipment
DIS,The Walt Disney Company,2020-08-04,Post-Market,Movies & Entertainment
VMC,Vulcan Materials Company,2020-08-04,Pre-Market,Construction Materials
IPGP,IPG Photonics Corporation,2020-08-04,Pre-Market,Electronic Manufacturing Services
FIS,"Fidelity National Information Services, Inc.",2020-08-04,Pre-Market,Data Processing & Outsourced Services
TDG,TransDigm Group Incorporated,2020-08-04,Pre-Market,Aerospace & Defense
PXD,Pioneer Natural Resources Company,2020-08-04,Post-Market,Oil & Gas Exploration & Production
DVN,Devon Energy Corporation,2020-08-04,Post-Market,Oil & Gas Exploration & Production
PEAK,"Healthpeak Properties, Inc.",2020-08-04,Post-Market,Health Care REITs
MNST,Monster Beverage Corporation,2020-08-04,Post-Market,Soft Drinks
FMC,FMC Corporation,2020-08-04,Post-Market,Fertilizers & Agricultural Chemicals
ZBH,"Zimmer Biomet Holdings, Inc.",2020-08-04,Pre-Market,Health Care Equipment
DISH,DISH Network Corporation,2020-08-04,Estimated,Cable & Satellite
HSIC,"Henry Schein, Inc.",2020-08-04,Pre-Market,Health Care Distributors
FOX,Fox Corporation,2020-08-04,Post-Market,Movies & Entertainment
ATVI,"Activision Blizzard, Inc.",2020-08-04,Post-Market,Interactive Home Entertainment
EXR,Extra Space Storage Inc.,2020-08-04,Post-Market,Specialized REITs
ANET,"Arista Networks, Inc.",2020-08-04,Post-Market,Communications Equipment
PAYC,"Paycom Software, Inc.",2020-08-04,Post-Market,Application Software
VRSK,"Verisk Analytics, Inc.",2020-08-04,Post-Market,Research & Consulting Services
MCHP,Microchip Technology Incorporated,2020-08-04,Estimated,Semiconductors
EXPD,"Expeditors International of Washington, Inc.",2020-08-04,Estimated,Air Freight & Logistics
EXC,Exelon Corporation,2020-08-04,Estimated,Multi-Utilities
WYNN,"Wynn Resorts, Limited",2020-08-04,Estimated,Casinos & Gaming
AIZ,"Assurant, Inc.",2020-08-04,Post-Market,Multi-line Insurance
INCY,Incyte Corporation,2020-08-04,Pre-Market,Biotechnology
RL,Ralph Lauren Corporation,2020-08-04,Pre-Market,"Apparel, Accessories & Luxury Goods"
WEC,"WEC Energy Group, Inc.",2020-08-04,Pre-Market,Electric Utilities
ALL,The Allstate Corporation,2020-08-04,Estimated,Property & Casualty Insurance
